US Node ID 2012,DS Node ID  2012,Link Type 2012,System Type 2012,Conduit Material 2012,Site Condition 2012,Ground Condition 2012,Shape ID 2012,Conduit Width 2012,Conduit Height 2012,Bottom Roughness 2012,Top Roughness 2012,Conduit Length 2012 (ft),US Invert Level 2012 (ft),DS Invert Level 2012 (ft)
bf-b2,gb-s22,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3657.600069,3657.600069,0.015,0.015,418.3361133,-24.87,-24.87
bf-b3,gb-s23,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3657.600069,3657.600069,0.015,0.015,423.24395,-24.87,-24.87
BnxFb,BnxDt,Cond,combined,UNKN,ROAD,SUBURBS,RECT,7315.200138,2438.400046,0.015,0.015,1003.291639,-24.87,-24.88
R73.01,BnxFb,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3758.184071,3200.40006,0.015,0.015,298.679921,-24.68,-24.87
R24.01,MtnFb,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2490.216047,0.015,0.015,142.0359974,-24.198,-24.278
m-bf1,m-s11,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3657.600069,3657.600069,0.015,0.015,199.3540487,-24.188,-24.188
m-bf2,m-s12,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3657.600069,3657.600069,0.015,0.015,199.3540487,-24.188,-24.188
m-bf3,m-s13,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3657.600069,3657.600069,0.015,0.015,199.3540487,-24.188,-24.188
MtnDt2,MtnDt3,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,114.7298025,-24.188,-24.188
MtnDt2,MtnDt1,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,113.7979091,-24.188,-24.188
MtnFb,MtnDt2,Cond,combined,UNKN,ROAD,SUBURBS,RECT,4876.800092,1828.800034,0.015,0.015,1003.291639,-24.188,-24.198
R53.01,R73.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3759.200071,3200.40006,0.015,0.015,1097.400395,-24.17,-24.87
R25.02,R24.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1728.216032,2209.800042,0.015,0.015,224.8276234,-24.078,-24.198
R23.02,MtnFb,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2133.60004,2133.60004,0.015,0.015,183.2010533,-23.958,-23.988
R25.01,R25.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1728.216032,2209.800042,0.015,0.015,824.6053983,-23.468,-24.078
R55.02,R53.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,3048.000057,0.015,0.015,1302.473206,-23.43,-24.17
R23.01,R23.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1727.200032,1905.000036,0.015,0.015,605.1855168,-23.148,-23.958
ADS34,R25.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1728.216032,2209.800042,0.015,0.015,953.1270573,-22.858,-23.468
R55.01,R55.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,3048.000057,0.015,0.015,1302.473206,-22.69,-23.43
R56.01,R55.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,3048.000057,0.015,0.015,340.7178407,-22.51,-22.69
R31.01,ADS34,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1728.216032,2209.800042,0.015,0.015,634.7826201,-22.388,-22.858
ADS33,R23.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1447.800027,1880.616035,0.015,0.015,486.3957867,-22.258,-23.148
R33.01,R31.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1728.216032,2209.800042,0.015,0.015,552.6130349,-22.148,-22.388
R19.02,ADS33,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1447.800027,1879.600035,0.015,0.015,665.4833443,-21.958,-22.158
R34.01,R33.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1728.216032,2209.800042,0.015,0.015,512.5816985,-21.548,-22.148
R57.01,R56.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2438.400046,0.015,0.015,1911.972877,-21.5,-22.51
R19.01,R19.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1447.800027,1879.600035,0.015,0.015,796.8142199,-21.058,-21.988
R58.01,R57.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2438.400046,0.015,0.015,1533.330612,-20.96,-21.77
R35.01,R34.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1676.400032,2081.784039,0.015,0.015,784.8750494,-20.718,-21.548
R17.01,R19.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1422.400027,1828.800034,0.015,0.015,524.0192232,-20.638,-20.998
R59.02,R58.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2438.400046,0.015,0.015,1527.712179,-20.29,-20.96
R36.01,R35.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1574.80003,2032.000038,0.015,0.015,1510.254905,-19.768,-20.718
R59,R59.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2286.000043,0.015,0.015,1419.356682,-19.48,-20.3
R15.01,R16.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1752.600033,0.015,0.015,276.5071758,-19.258,-19.458
