date,usage_mgd
7/4/2019,106.9
7/5/2019,109.2
7/6/2019,106.37
7/7/2019,102.66
7/8/2019,105.72
7/9/2019,107.79
7/10/2019,107.12
7/11/2019,106.99
7/12/2019,107.19
7/13/2019,108.71
7/14/2019,108.71
7/15/2019,107.75
7/16/2019,108.55
7/17/2019,107.71
7/18/2019,108.35
7/19/2019,111.12
7/20/2019,111.35
7/21/2019,110.11
7/22/2019,107.29
7/23/2019,106.91
7/24/2019,108.55
7/25/2019,109.28
7/26/2019,105.58
7/27/2019,105.58
7/28/2019,107.15
7/29/2019,108.79
7/30/2019,106.76
7/31/2019,110.19
8/1/2019,109.52
8/2/2019,108.77
8/3/2019,110.62
8/4/2019,110.35
8/5/2019,108.74
8/6/2019,108.18
8/7/2019,110.19
8/8/2019,111.95
8/9/2019,111.95
8/10/2019,114.38
8/11/2019,114.46
8/12/2019,115.72
8/13/2019,114.77
8/14/2019,111.44
8/15/2019,111.59
8/16/2019,114.87
8/17/2019,115.99
8/18/2019,113.13
8/19/2019,110.06
8/20/2019,113.9
8/21/2019,112.52
8/22/2019,112.52
8/23/2019,112.94
8/24/2019,114.06
8/25/2019,116.68
8/26/2019,117.94
8/27/2019,113.18
8/28/2019,114.39
8/29/2019,112.59
8/30/2019,114.07
8/31/2019,117.2
9/1/2019,119.76
9/2/2019,114.92
9/3/2019,116.53
9/4/2019,116.53
9/5/2019,118.52
9/6/2019,117.75
9/7/2019,119.43
9/8/2019,113.22
9/9/2019,113.67
9/10/2019,114.25
9/11/2019,114.63
9/12/2019,113.77
9/13/2019,113.17
9/14/2019,116.91
9/15/2019,119.66
9/16/2019,120.03
9/17/2019,120.03
9/18/2019,114.67
9/19/2019,115.56
9/20/2019,116.92
9/21/2019,114
9/22/2019,120.31
9/23/2019,110.91
9/24/2019,116.69
9/25/2019,115.6
9/26/2019,118.34
9/27/2019,111.69
9/28/2019,111.59
9/29/2019,127.3
9/30/2019,127.3
10/1/2019,102.38
10/2/2019,117.27
10/3/2019,116.5
10/4/2019,115.77
10/5/2019,115.6
10/6/2019,114.48
10/7/2019,123.46
10/8/2019,134.79
10/9/2019,97.21
10/10/2019,126.41
10/11/2019,106.01
10/12/2019,113.13
10/13/2019,113.13
10/14/2019,110.12
10/15/2019,113.22
10/16/2019,111.87
10/17/2019,114.18
10/18/2019,113.92
10/19/2019,114.91
10/20/2019,113.33
10/21/2019,109.09
10/22/2019,110.86
10/23/2019,115.96
10/24/2019,117.47
10/25/2019,115.86
10/26/2019,115.86
10/27/2019,113.98
10/28/2019,112.04
10/29/2019,114.02
10/30/2019,114.92
10/31/2019,114.77
11/1/2019,116.02
11/2/2019,117.52
11/3/2019,113.05
11/4/2019,113.88
11/5/2019,116.86
11/6/2019,115.41
11/7/2019,115.71
11/8/2019,115.71
11/9/2019,113.68
11/10/2019,113.33
11/11/2019,113.43
11/12/2019,115.75
11/13/2019,115.64
11/14/2019,119.6
11/15/2019,109.8
11/16/2019,115.64
11/17/2019,115.28
11/18/2019,113.31
11/19/2019,115.96
11/20/2019,115.14
11/21/2019,115.14
11/22/2019,112.56
11/23/2019,115.82
11/24/2019,116.55
11/25/2019,113.73
11/26/2019,112.87
11/27/2019,112.56
11/28/2019,112.5
11/29/2019,114.02
11/30/2019,112.31
12/1/2019,112.83
12/2/2019,112.88
12/3/2019,110.14
12/4/2019,110.14
12/5/2019,111.75
12/6/2019,97.57
12/7/2019,126.42
12/8/2019,111.77
12/9/2019,90.57
12/10/2019,127.65
12/11/2019,74.12
12/12/2019,156
12/13/2019,112.3
12/14/2019,112.34
12/15/2019,111.99
12/16/2019,110.75
12/17/2019,110.75
12/18/2019,111.54
12/19/2019,113.04
12/20/2019,109.49
12/21/2019,109.09
12/22/2019,112.4
12/23/2019,109.77
12/24/2019,111.28
12/25/2019,112.93
12/26/2019,111.71
12/27/2019,111.07
12/28/2019,116.57
12/29/2019,110.75
12/30/2019,110.75
12/31/2019,111.41
1/1/2020,111.41
1/2/2020,110.18
1/3/2020,112.85
1/4/2020,115.67
1/5/2020,111.5
1/6/2020,113.32
1/7/2020,110.6
1/8/2020,112.73
1/9/2020,111.77
1/10/2020,112.11
1/11/2020,109.95
1/12/2020,109.95
1/13/2020,115.1
1/14/2020,112.76
1/15/2020,111.09
1/16/2020,111.11
1/17/2020,110.54
1/18/2020,112.08
1/19/2020,113.7
1/20/2020,109.96
1/21/2020,112.35
1/22/2020,110.34
1/23/2020,112.59
1/24/2020,117.46
1/25/2020,117.46
1/26/2020,102.42
1/27/2020,104.96
1/28/2020,107.43
1/29/2020,109.56
1/30/2020,110.24
1/31/2020,106.31
2/1/2020,111.09
2/2/2020,109.43
2/3/2020,110.98
2/4/2020,110.25
2/5/2020,108.36
2/6/2020,107.3
2/7/2020,107.3
2/8/2020,109.89
2/9/2020,106.89
2/10/2020,107.4
2/11/2020,109.48
2/12/2020,110.6
2/13/2020,109.21
2/14/2020,108.35
2/15/2020,110.89
2/16/2020,107.47
2/17/2020,108.45
2/18/2020,109.77
2/19/2020,109.55
2/20/2020,109.55
2/21/2020,108.52
2/22/2020,110.38
2/23/2020,101.65
2/24/2020,100.97
2/25/2020,104.46
2/26/2020,105.34
2/27/2020,104.15
2/28/2020,106.53
2/29/2020,113.71
3/1/2020,103.48
3/2/2020,105.86
3/3/2020,105.2
3/4/2020,105.2
3/5/2020,108.2
3/6/2020,107.5
3/7/2020,108.19
3/8/2020,108.27
3/9/2020,109.39
3/10/2020,108.63
3/11/2020,108.67
3/12/2020,109.1
3/13/2020,110.2
3/14/2020,107.58
3/15/2020,107.66
3/16/2020,107.64
3/17/2020,107.64
3/18/2020,106.76
3/19/2020,108.2
3/20/2020,108.23
3/21/2020,108.09
3/22/2020,110.89
3/23/2020,111.85
3/24/2020,108.31
3/25/2020,106.68
3/26/2020,106.16
3/27/2020,106.5
3/28/2020,108.24
3/29/2020,107.3
3/30/2020,107.3
3/31/2020,107.45
4/1/2020,105.97
4/2/2020,107.24
4/3/2020,106.03
4/4/2020,105.81
4/5/2020,107.69
4/6/2020,105.95
4/7/2020,105.52
4/8/2020,106.48
4/9/2020,105.95
4/10/2020,107.33
4/11/2020,108.82
4/12/2020,108.82
4/13/2020,110.57
4/14/2020,106.65
4/15/2020,105.2
4/16/2020,108.48
4/17/2020,109.55
4/18/2020,108.54
4/19/2020,108.97
4/20/2020,104.32
4/21/2020,108.06
4/22/2020,107.36
4/23/2020,107.27
4/24/2020,110.16
4/25/2020,110.16
4/26/2020,106.12
4/27/2020,109.05
4/28/2020,108.22
4/29/2020,107.84
4/30/2020,106.97
5/1/2020,107.75
5/2/2020,107.53
5/3/2020,108.16
5/4/2020,108.53
5/5/2020,112.12
5/6/2020,106.76
5/7/2020,109.21
5/8/2020,109.21
5/9/2020,105.93
5/10/2020,108.63
5/11/2020,108.61
5/12/2020,110.04
5/13/2020,106.92
5/14/2020,110.46
5/15/2020,109.9
5/16/2020,108.82
5/17/2020,108.06
5/18/2020,108
5/19/2020,107.92
5/20/2020,111.97
5/21/2020,111.97
5/22/2020,105.72
5/23/2020,108.17
5/24/2020,111.23
5/25/2020,105.72
5/26/2020,107.58
5/27/2020,108.9
5/28/2020,108.8
5/29/2020,108.54
5/30/2020,108.69
5/31/2020,105.54
6/1/2020,107.21
6/2/2020,107.38
6/3/2020,107.38
6/4/2020,107.72
6/5/2020,102.52
6/6/2020,105.93
6/7/2020,106.28
6/8/2020,103.43
6/9/2020,105.71
6/10/2020,105.6
6/11/2020,106
6/12/2020,106.29
6/13/2020,108.62
6/14/2020,103.34
6/15/2020,104.94
6/16/2020,104.94
6/17/2020,109.82
6/18/2020,102.02
6/19/2020,108.52
6/20/2020,105.2
6/21/2020,103.95
6/22/2020,107.75
6/23/2020,108.44
6/24/2020,106.96
6/25/2020,105.5
6/26/2020,108.25
6/27/2020,107.61
6/28/2020,104.84
6/29/2020,104.84
6/30/2020,106.13
7/1/2020,109.86
7/2/2020,58.28
7/3/2020,151.44
7/4/2020,106.94
7/5/2020,108.79
7/6/2020,104.97
7/7/2020,109.79
7/8/2020,107.17
7/9/2020,106.67
7/10/2020,105.01
7/11/2020,108.23
7/12/2020,108.23
7/13/2020,108.41
7/14/2020,107.79
7/15/2020,110.69
7/16/2020,106.9
7/17/2020,105.43
7/18/2020,108.2
7/19/2020,106.44
7/20/2020,110.85
7/21/2020,102.65
7/22/2020,105.95
7/23/2020,107.95
7/24/2020,107.89
7/25/2020,107.89
7/26/2020,112.15
7/27/2020,112.19
7/28/2020,106.45
7/29/2020,108.94
7/30/2020,108.71
7/31/2020,109.39
8/1/2020,108.71
8/2/2020,109.95
8/3/2020,107.46
8/4/2020,110.02
8/5/2020,104.77
8/6/2020,108.92
8/7/2020,108.92
8/8/2020,111.34
8/9/2020,111.09
8/10/2020,112.45
8/11/2020,112.66
